EventName,StateName,CountyName,Hazard,StartDate,EndDate,Month,Quarter,Year,Duration_Days,Location,County_FIPS,Remarks,Fatalities,FatalitiesPerCapita,Fatalities_Duration,Injuries,InjuriesPerCapita,Injuries_Duration,PropertyDmg,PropertyDmg(ADJ),PropertyDmgPerCapita,PropertyDmgDuration
Hurricane 2017 Irma,FLORIDA,Miami-Dade, Hurricane/Tropical Storm,9/9/17,9/10/17,9,3,2017,2,Miami-Dade ,12086,Tropical Storm,5,0,2,0,0,0,0,0,0,0
Hurricane 2022 Ian,FLORIDA,Miami-Dade, Tornado,9/27/22,9/27/22,9,3,2022,1,,12086,NCDC_Tornado,0,0,0,0,0,0,3000,3192.3,0,1
Hurricane 2022 Ian,FLORIDA,Miami-Dade, Tornado,9/27/22,9/27/22,9,3,2022,1,,12086,NCDC_Tornado,0,0,0,0,0,0,3000,3192.3,0,1
Hurricane 2022 Ian,FLORIDA,Miami-Dade, Hurricane/Tropical Storm,9/27/22,9/28/22,9,3,2022,2,,12086,NCDC_Tropical Depression,0,0,0,0,0,0,0,0,0,0
Hurricane 2022 Ian,FLORIDA,Miami-Dade, Coastal,9/30/22,9/30/22,9,3,2022,1,,12086,NCDC_High Surf,0,0,0,6,0,1,0,0,0,0
Hurricane 2017 Irma,FLORIDA,Monroe, Hurricane/Tropical Storm,9/9/17,9/10/17,9,3,2017,2,Monroe/Lower Keys,12087,"Hurricane, M59, IW, PH, OU",4,0,2,20,0,2,0,0,0,0
Hurricane 2017 Irma,FLORIDA,Monroe, Hurricane/Tropical Storm,9/9/17,9/10/17,9,3,2017,2,Monroe/Upper Keys,12087,"Hurricane, M66PH",1,0,2,5,0,2,0,0,0,0
Hurricane 2017 Irma,FLORIDA,Monroe, Hurricane/Tropical Storm,9/9/17,9/10/17,9,3,2017,2,Monroe/Middle Keys,12087,Hurricane,3,0,2,15,0,2,0,0,0,0
Hurricane 2017 Irma,FLORIDA,Monroe, Flooding,9/10/17,9/11/17,9,3,2017,2,Monroe/Middle Keys,12087,"Storm Surge/Tide, M",1,0,2,0,0,0,0,0,0,0
Hurricane 2020 Laura,FLORIDA,Monroe, Hurricane/Tropical Storm,8/24/20,8/25/20,8,3,2020,2,CZone: FL078-Monroe Lower Keys,12087,Tropical Storm,0,0,0,0,0,0,2500,2871.4,0.03,2
Hurricane 2020 Sally,FLORIDA,Monroe, Flooding,9/12/20,9/13/20,9,3,2020,2,,12087,NCDC_Flood,0,0,0,0,0,0,10000,11485.6,0.14,2
Hurricane 2016 Matthew,FLORIDA,Nassau, Hurricane/Tropical Storm,10/6/16,10/8/16,10,4,2016,3,,12089,NCDC_Tropical Storm,0,0,0,0,0,0,10000000,12319685.06,153.98,3
Hurricane 2020 Sally,FLORIDA,Okaloosa, Hurricane/Tropical Storm,9/15/20,9/16/20,9,3,2020,2,,12091,NCDC_Tropical Storm,0,0,0,0,0,0,17320000,19893058.04,93.8,2
Hurricane 2017 Irma,FLORIDA,Okeechobee, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12093,NCDC_Tropical Storm,0,0,0,0,0,0,157000000,189495536,4600.75,2
Hurricane 2022 Ian,FLORIDA,Okeechobee, Hurricane/Tropical Storm,9/28/22,9/29/22,9,3,2022,2,,12093,NCDC_Hurricane,0,0,0,0,0,0,1400000,1489742.06,36.9,2
Hurricane 2017 Irma,FLORIDA,Orange, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,Lake,12095,"Tropical Storm, M85",0,0,0,0,0,0,12166666.67,14684898.22,10.85,2
Hurricane 2017 Irma,FLORIDA,Orange, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12095,NCDC_Tropical Storm,0,0,0,0,0,0,110000000,132767573,98.13,2
Hurricane 2022 Ian,FLORIDA,Orange, Flooding,9/28/22,9/30/22,9,3,2022,3,,12095,NCDC_Flood,0,0,0,0,0,0,206000000,219204902.7,150.99,3
Hurricane 2017 Irma,FLORIDA,Osceola, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,Lake,12097,"Tropical Storm, M85",0,0,0,0,0,0,12166666.67,14684898.22,41.64,2
Hurricane 2017 Irma,FLORIDA,Osceola, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12097,NCDC_Tropical Storm,0,0,0,0,0,0,100000000,120697793.6,342.25,2
